FL001,06:00,06:30
FL002,06:15,06:45
FL003,06:50,07:20
FL004,07:00,07:30
FL005,07:15,07:45
FL006,07:40,08:10
FL007,08:00,08:30
FL008,08:20,08:50
FL009,08:45,09:15
FL010,09:00,09:30
FL011,09:20,09:50
FL012,14:00,14:30
FL123,10:00,10:30
FL321,11:10,11:40
FL345,14:15,14:45
FL456,10:15,10:45
FL567,14:50,15:20
FL678,15:10,15:40
FL789,15:30,16:00
FL890,16:10,16:40
FL901,16:50,17:20
FL902,17:30,18:00
FL903,18:10,18:40
FL904,18:50,19:20
FL905,19:30,20:00
FL906,20:10,20:40
FL907,20:50,21:20
FL908,21:30,22:00
